City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,lasa,46.6166,10.7002,70.68,86,73,5.28,IT,1623435192
148,taseyevo,57.2169,94.8978,43.05,60,12,2.77,RU,1623435192
149,samarai,-10.6167,150.6667,80.15,85,10,10.96,PG,1623435192
150,namatanai,-3.6667,152.4333,78.91,82,18,9.46,PG,1623435193
151,aksu,41.1231,80.2644,78.85,23,83,10.0,CN,1623435193
152,lorengau,-2.0226,147.2712,80.28,83,84,9.57,PG,1623435194
153,yatou,37.15,122.3833,63.68,93,50,3.49,CN,1623435194
154,rio gallegos,-51.6226,-69.2181,44.65,70,0,9.22,AR,1623435195
155,corinto,37.9407,22.9573,75.02,75,81,3.62,GR,1623435195
156,baikunthpur,23.25,82.55,81.55,69,35,1.05,IN,1623435196
157,san policarpo,12.1791,125.5072,77.49,89,100,5.84,PH,1623435196
158,husavik,66.0449,-17.3389,39.11,98,100,26.08,IS,1623435197
159,clyde river,70.4692,-68.5914,41.23,70,20,27.63,CA,1623435197
160,goundam,16.4145,-3.6708,105.49,18,19,8.77,ML,1623435197
161,laguna de perlas,12.3429,-83.6712,84.74,68,75,5.66,NI,1623435198
162,derzhavinsk,51.1,66.3167,61.59,40,72,17.9,KZ,1623435198
163,tuy hoa,13.0833,109.3,81.57,72,100,11.54,VN,1623435199
164,mae ramat,16.984,98.5166,73.11,98,100,2.19,TH,1623435199
165,guozhen,34.3659,107.359,77.09,61,99,4.38,CN,1623435199
166,jiuquan,39.7432,98.5174,71.73,27,76,2.59,CN,1623435200
167,san ignacio,17.1561,-89.0714,89.74,66,40,4.61,BZ,1623435200
168,meybod,32.2501,54.0166,93.22,9,0,5.46,IR,1623435201
169,luderitz,-26.6481,15.1594,62.8,53,60,3.22,NA,1623435201
170,arraial do cabo,-22.9661,-42.0278,75.06,83,75,8.05,BR,1623435202
171,alice springs,-23.7,133.8833,45.95,34,27,5.75,AU,1623435199
172,beyneu,45.3167,55.2,75.11,51,100,2.44,KZ,1623435202
173,dokka,60.84,10.0618,64.42,61,99,9.44,NO,1623435203
174,maningrida,-12.0667,134.2667,63.73,91,29,8.41,AU,1623435203
175,douentza,14.9951,-2.9517,83.43,54,84,10.4,ML,1623435204
176,carnarvon,-24.8667,113.6333,60.87,74,75,5.75,AU,1623435204
177,bilma,18.6853,12.9164,100.99,9,40,6.64,NE,1623435204
178,linkoping,58.4109,15.6216,73.78,57,75,6.91,SE,1623435205
179,vaitape,-16.5167,-151.75,76.15,86,99,8.34,PF,1623435205
180,cayenne,4.9333,-52.3333,84.09,77,90,1.01,GF,1623434975
181,payson,40.0444,-111.7321,74.03,29,1,1.01,US,1623434949
182,flinders,-34.5833,150.8552,54.25,70,3,7.0,AU,1623435206
183,baghdad,33.3406,44.4009,89.51,20,0,14.97,IQ,1623435206
184,kiama,-34.6833,150.8667,54.45,68,4,5.99,AU,1623435207
185,novo aripuana,-5.1206,-60.3797,91.67,45,93,3.09,BR,1623435207
186,iqaluit,63.7506,-68.5145,42.53,65,20,10.0,CA,1623435179
187,somerset east,-32.7217,25.588,63.28,33,17,7.49,ZA,1623435208
188,acapulco,16.8634,-99.8901,82.22,83,90,5.75,MX,1623435057
189,grand gaube,-20.0064,57.6608,75.6,71,80,10.0,MU,1623435208
190,bagotville,-28.9833,153.4167,49.78,84,7,6.2,AU,1623435209
191,romanovo,52.6182,81.2271,49.08,64,95,8.59,RU,1623435209
192,mayya,61.7333,130.2811,47.52,79,2,3.27,RU,1623435210
193,nueva loja,0.0847,-76.8828,80.62,83,75,5.75,EC,1623435210
194,dingle,10.9995,122.6711,76.42,95,100,1.16,PH,1623435210
195,duluth,46.7833,-92.1066,65.46,96,90,5.99,US,1623435051
196,saint george,37.1041,-113.5841,84.34,9,1,1.01,US,1623434977
197,vao,-22.6667,167.4833,72.63,74,100,13.58,NC,1623435211
198,panji,-7.7253,114.0995,76.64,80,63,4.94,ID,1623435212
199,yakeshi,49.2833,120.7333,53.19,76,0,4.29,CN,1623435212
200,meulaboh,4.1363,96.1285,77.38,86,92,4.23,ID,1623435212
201,kavaratti,10.5669,72.642,83.59,77,100,18.32,IN,1623435213
202,gilgit,35.9221,74.3087,79.16,37,6,0.96,PK,1623435213
203,carutapera,-1.195,-46.02,77.0,84,100,3.69,BR,1623435214
204,olafsvik,64.8945,-23.7142,43.34,59,90,15.37,IS,1623435144
205,aklavik,68.2191,-135.0107,59.72,81,75,8.05,CA,1623435214
206,new norfolk,-42.7826,147.0587,56.66,85,100,1.01,AU,1623435163
207,muros,42.7762,-9.0603,84.24,61,0,16.15,ES,1623435215
208,mahebourg,-20.4081,57.7,75.49,73,75,14.97,MU,1623435215
209,ndjole,-0.1783,10.7649,77.07,93,100,3.71,GA,1623435216
210,itagi,-14.1628,-40.0061,85.6,40,68,5.7,BR,1623435216
211,cap malheureux,-19.9842,57.6142,75.69,71,82,10.0,MU,1623435216
212,aquiraz,-3.9014,-38.3911,86.09,66,21,9.75,BR,1623435217
213,kamaishi,39.2667,141.8833,61.2,93,100,9.06,JP,1623435217
214,darhan,49.4867,105.9228,50.07,85,73,4.72,MN,1623435218
215,wufeng,27.45,104.8333,59.41,95,96,3.44,CN,1623435218
216,acajutla,13.5928,-89.8275,89.94,68,59,6.17,SV,1623435219
217,tuatapere,-46.1333,167.6833,42.93,89,8,4.79,NZ,1623435219
218,hamilton,39.1834,-84.5333,89.74,68,75,1.99,US,1623435219
219,laramie,41.3114,-105.5911,68.77,19,1,1.99,US,1623435009
220,cabo san lucas,22.8909,-109.9124,100.51,74,1,9.22,MX,1623435209
221,geraldton,-28.7667,114.6,59.41,100,90,6.91,AU,1623435220
222,necochea,-38.5473,-58.7368,60.04,44,100,14.27,AR,1623435221
223,lokosovo,61.1333,74.8167,56.59,67,100,7.4,RU,1623435221
224,valle hermoso,25.6667,-97.8333,93.06,48,91,18.01,MX,1623435221
225,sarangani,5.4033,125.4636,81.43,75,97,3.98,PH,1623435222
226,syracuse,37.0881,15.2792,76.89,64,35,5.64,IT,1623435222
227,patrocinio,-18.9439,-46.9925,71.96,59,85,8.7,BR,1623435223
228,urengoy,65.9667,78.3667,48.25,88,98,9.64,RU,1623435223
229,manuk mangkaw,4.8,119.85,83.5,72,84,3.2,PH,1623435223
230,san patricio,28.017,-97.5169,92.07,51,0,15.01,US,1623435224
231,kuching,1.55,110.3333,75.42,88,40,3.44,MY,1623435224
232,ancud,-41.8697,-73.8203,57.42,94,100,18.7,CL,1623435225
233,kaili,-3.4626,120.2147,66.09,92,32,3.33,ID,1623435225
234,saint anthony,45.0205,-93.218,84.52,55,1,1.99,US,1623435225
235,yumen,40.2833,97.2,74.08,21,89,7.4,CN,1623435226
236,kombissiri,12.0656,-1.3375,85.98,30,27,3.33,BF,1623435226
237,villa maria,-32.4075,-63.2402,68.83,38,34,9.93,AR,1623435227
238,yantal,56.8471,105.2542,41.16,63,33,3.53,RU,1623435227
239,mehamn,71.0357,27.8492,64.31,89,100,6.49,NO,1623435228
240,port elizabeth,-33.918,25.5701,63.1,82,0,5.75,ZA,1623435228
241,saskylakh,71.9167,114.0833,36.73,94,100,18.34,RU,1623435131
242,kirakira,-10.4544,161.9205,78.66,86,45,8.32,SB,1623435229
243,port moresby,-9.4431,147.1797,74.14,91,13,4.18,PG,1623435229
244,kandrian,-6.2167,149.55,78.08,88,48,7.63,PG,1623435230
245,kautokeino,69.0125,23.0412,68.52,51,100,29.21,NO,1623435230
246,lagunas,-5.2269,-75.6753,84.52,71,64,2.13,PE,1623435231
247,savannah bight,16.45,-85.85,89.65,79,100,19.62,HN,1623435231
248,ambilobe,-13.2,49.05,70.18,84,23,1.68,MG,1623435232
249,nortelandia,-14.4547,-56.8028,84.56,48,99,5.84,BR,1623435233
250,reynosa,26.0833,-98.2833,92.97,58,40,14.97,MX,1623435005
251,tongliao,43.6125,122.2653,71.2,60,19,11.45,CN,1623435234
252,ilulissat,69.2167,-51.1,39.22,70,75,5.75,GL,1623435234
253,jalu,29.0331,21.5482,85.24,23,0,11.63,LY,1623435234
254,kamenka,51.3223,42.7678,63.03,79,16,4.59,RU,1623435235
255,ucluelet,48.9329,-125.5528,56.08,88,100,1.01,CA,1623435038
256,pelym,61.0108,61.9978,59.49,46,29,5.75,RU,1623435235
257,ozark,37.0209,-93.206,92.75,70,33,1.01,US,1623435236
258,lukulu,-14.3707,23.242,62.19,31,32,5.99,ZM,1623435236
259,teguldet,57.3064,88.1667,43.0,66,22,3.89,RU,1623435237
260,ballybofey,54.8,-7.7833,56.95,63,90,11.79,IE,1623435237
261,moose factory,51.2585,-80.6094,59.0,44,1,9.22,CA,1623435238
262,nome,64.5011,-165.4064,42.87,87,90,10.36,US,1623435238
263,abu zabad,12.35,29.25,87.82,41,64,16.98,SD,1623435239
264,barcelos,41.5388,-8.6151,86.29,47,27,6.04,PT,1623435239
265,camacha,33.0833,-16.3333,75.96,77,40,14.97,PT,1623435239
266,karratha,-20.7377,116.8463,73.56,70,100,8.81,AU,1623435240
267,tijucas,-27.2414,-48.6336,75.87,65,37,4.03,BR,1623435240
268,san cristobal,7.7669,-72.225,82.58,68,89,6.8,VE,1623435014
269,sarh,9.1429,18.3923,89.51,58,0,0.0,TD,1623435241
270,ponta delgada,37.7333,-25.6667,68.72,83,75,3.44,PT,1623435241
271,bontang,0.1333,117.5,77.02,88,72,4.41,ID,1623435020
272,puerto maldonado,-12.6,-69.1833,63.0,100,75,9.22,PE,1623435242
273,nanortalik,60.1432,-45.2371,36.75,96,99,1.43,GL,1623435171
274,namibe,-15.1961,12.1522,74.17,64,4,11.05,AO,1623435205
275,almeirim,-1.5233,-52.5817,79.86,76,99,2.73,BR,1623435234
276,katsuura,35.1333,140.3,70.11,79,99,7.0,JP,1623435243
277,westport,41.1415,-73.3579,79.61,58,1,1.01,US,1623435243
278,ahome,25.9167,-109.1833,94.14,57,63,1.99,MX,1623435244
279,kenai,60.5544,-151.2583,51.89,76,1,16.11,US,1623435244
280,chala,-7.5833,31.2667,58.73,66,15,2.01,TZ,1623435244
281,susanino,58.1461,41.5872,59.05,71,33,5.28,RU,1623435245
282,khatanga,71.9667,102.5,34.88,71,17,0.96,RU,1623435245
283,newport,51.5877,-2.9984,68.18,89,100,12.84,GB,1623435246
